,L1_ITO,L2_ZnO,L3_CuGeSeSnS,L4_Au,Transmission,Reflection
564.0,0.010845769016017623,0.011359648520694831,0.681528356902295,0.000937699034958822,0.006467323513507761,0.28886120301252605
566.0,0.011015487665841416,0.011067678096773715,0.6869179423145114,0.0009333426375792285,0.0065158390217675,0.28354971026352666
568.0,0.01121869208057701,0.010775071682699398,0.6922390886914791,0.0009263545175007503,0.006565504173371706,0.27827528885437197
570.0,0.011425262526778926,0.010482365290059519,0.6975715837266389,0.0009184504026163269,0.0066148407795798,0.27298749727432664
572.0,0.011635184118982518,0.0101893163300057,0.7029849360837483,0.00091255763155082,0.006660310097552524,0.2676176957381601
574.0,0.011847915115202182,0.009895074274925227,0.708544416714897,0.0009105797632241354,0.006699737100925529,0.2621022770308259
576.0,0.012063286908745802,0.00959925455395966,0.7143294513000692,0.0009145618092411934,0.006730918255784535,0.25636252717219965
578.0,0.012280346105936363,0.009300733690790142,0.7203756752734319,0.0009294067209567578,0.006751723219365957,0.2503621149895188
580.0,0.012498556983881096,0.008998887027095186,0.726733951923996,0.0009552655056460614,0.006760952925676245,0.24405238563370535
582.0,0.012716665771684333,0.00869248990158741,0.7333982213719845,0.0009914644782006402,0.006758025634978848,0.23744313284156426
584.0,0.012933824228689255,0.00838082592089105,0.7404043323409424,0.0010405128620455087,0.00674109019671712,0.23049941445071462
586.0,0.013149090821267943,0.0080632229614032,0.7476726743675806,0.0011002903569996925,0.0067140034855498465,0.22330071800719875
588.0,0.013393547070911619,0.007738739885211803,0.7551297223371066,0.0011713524378730612,0.006676906775605507,0.21588973149329138
590.0,0.013602778011285425,0.007407784490046156,0.7627506516884341,0.0012519722451399095,0.006633177748029018,0.20835363581706529
592.0,0.013840398920943613,0.007069717934389984,0.7704160614765976,0.0013475495888802282,0.0065828122848491655,0.20074345979433936
594.0,0.01404276433485507,0.006725346212640658,0.7781114561296857,0.0014529457753660227,0.006529031243101835,0.19313845630435073
596.0,0.014273262141757437,0.00637427954961993,0.7856961506567774,0.0015660622699064835,0.006471656100507234,0.1856185892814314
598.0,0.014467516166664229,0.00601733085141952,0.7931229630112441,0.0016835447837730171,0.0064134402522182665,0.17829520493468096
600.0,0.014692081255466723,0.005655007370939141,0.8003421775146324,0.0018034728590419638,0.0063550664962480075,0.17115219450367175
602.0,0.014913076430373522,0.005627628764715472,0.8070720820670679,0.0019244269939063942,0.006294305197863892,0.1641684805460728
604.0,0.015099689508308745,0.005599690479657621,0.8135376951207139,0.0020422502281495438,0.006235469967093676,0.15748520469607652
606.0,0.015319246144269298,0.00557160577517794,0.8197615827754573,0.0021622590428334513,0.006178021605527245,0.15100728465673477
608.0,0.015538496570001952,0.0055435831727807605,0.8257199143765417,0.0022796235383181233,0.006123613810256251,0.1447947685321012
610.0,0.015758045087042444,0.005516016707661136,0.831482439041631,0.0023910381494960473,0.006071545979721454,0.13878091503444792
612.0,0.015978247783757612,0.005489080902607275,0.8370926932710397,0.0024953476152971775,0.006022303469183671,0.13292232695811454
614.0,0.01619808212153269,0.005462564144223824,0.8425578817887724,0.0025918668007961602,0.005975934059973181,0.12721367108470175
616.0,0.016450875986799948,0.005436496900504344,0.8479361398929737,0.002682276142119143,0.005931761867968496,0.12156244920963445
618.0,0.01666945009950767,0.005410720966327849,0.8532736244403626,0.002768642478933544,0.005888771266698858,0.11598879074816958
620.0,0.016885494778789475,0.005384751152281519,0.8585497952962227,0.0028541728789209493,0.005845212971307204,0.11048057292247819
622.0,0.017132020039530856,0.005358298765261241,0.8637996255175833,0.00295086722710064,0.00579986396476348,0.10495932448576042
624.0,0.01734181864261836,0.005331262415947226,0.8690099091880019,0.0030558131388202098,0.005749433651840191,0.09951176296277212
626.0,0.017579918906043067,0.0053031444970480035,0.874093148765707,0.003172895565810324,0.005691665402528967,0.0941592268628626
628.0,0.017780997841677443,0.005274298624985299,0.879101692589563,0.003306859002221508,0.005624481913215254,0.08891167002833748
630.0,0.018010885794723902,0.005244495181435337,0.8839486809498295,0.003461236620476467,0.005546158331598758,0.08378854312193608
632.0,0.01823679230847468,0.005213969648516327,0.8886203356123734,0.003638852575211068,0.005455609350274823,0.07883444050514972
634.0,0.018426167971714525,0.005183007838981207,0.8930981042974857,0.003845609677873116,0.005350443339721622,0.07409666687422384
636.0,0.018646020352941214,0.005151867137061056,0.8973085758559824,0.00408338968266706,0.00523077684196413,0.06957937012938412
638.0,0.018865607891330856,0.005121641757629458,0.9012333214100581,0.004357525360998741,0.005096856327666821,0.06532504725231608
640.0,0.019084955373102622,0.005092395022715475,0.9048692413099391,0.0046684033108704065,0.004947991958652968,0.06133701302471945
642.0,0.019304992732325322,0.005064747317052348,0.908217716638162,0.0050138659721168845,0.004786563486947108,0.057612113853396436
644.0,0.019559703307890697,0.005039068279244008,0.9112279811191014,0.005398218857551859,0.004611567505923439,0.05416346093028852
646.0,0.019784143617814748,0.005016359269248171,0.9139512462142104,0.0058249142239234905,0.0044234149752159155,0.05099992169958723
648.0,0.0200106127467144,0.004996667225069843,0.9163953022431107,0.006284361262508889,0.004226491080825755,0.04808656544177046
650.0,0.02027168988408511,0.004980355198740833,0.9185003311414923,0.006786137499185142,0.00401849642053069,0.04544298985596591
652.0,0.020498143014228493,0.004967038661014523,0.9203708582202039,0.007313238524333196,0.003806110981685984,0.04304461059853387
654.0,0.020754427109369044,0.004957789511537287,0.921982204589476,0.007859513672073862,0.0035901632288882768,0.04085590188865562
656.0,0.021001458696581286,0.004950739775817511,0.9233095417195,0.008431608925782959,0.003370630581738955,0.038936020300579265
658.0,0.02119701326309785,0.0049430318981255,0.924412332302583,0.009013978472355924,0.003154362564050911,0.03727928149978674
660.0,0.021400337929490212,0.004933019842047663,0.9251733217428121,0.00960872727691749,0.0029411723120686822,0.035943420896663816
662.0,0.021570437353117096,0.004917793918216078,0.9255764661088168,0.01020311090919769,0.002735578478414581,0.03499661323223776
664.0,0.021699632639938737,0.0048955807619575015,0.9255845333356085,0.010793238859002243,0.0025395032411241816,0.034487511162368804
666.0,0.021780726143848666,0.004864175001073775,0.9251239930485283,0.01137559500023283,0.002354834232481902,0.034500676573834536
668.0,0.021807799054910145,0.004820915804135504,0.9241589179462673,0.011933074379197908,0.002185783158998332,0.03509350965649092
670.0,0.021810182810122043,0.004764563968523083,0.9225785658389313,0.012469843622140396,0.002032033726835754,0.03634481003344741
672.0,0.02171851193873639,0.004693535109637014,0.9203629491998764,0.01300219168228397,0.0018964359516467078,0.0383263761178195
674.0,0.021598935738369008,0.004606609981674222,0.9174799430109163,0.013499429928571593,0.0017809715986492336,0.04103410974181973
676.0,0.021394382742624254,0.004504611524892426,0.9139086923445576,0.013971622576810495,0.0016831695909475253,0.044537521220167714
678.0,0.02117088566913965,0.004387548527084863,0.909645463944954,0.01441003959662595,0.001604503274067734,0.04878155898812782
680.0,0.020906055075865456,0.004256642820824887,0.9047655988654173,0.014812711662268531,0.001544779597808514,0.05371421197781535
682.0,0.02058091083544148,0.004113414635051492,0.8993350052776425,0.015186930309416336,0.0015027774462359686,0.05928096149621218
684.0,0.020259849534520893,0.0039590684046333265,0.8933773233675537,0.015535072216268358,0.001477610676355004,0.0653910758006687
686.0,0.019928057835439796,0.0037962086586111115,0.8871060734063705,0.015843855793195936,0.0014695991741694725,0.07185620513221322
